metric,value,unit,year_or_period,source,credibility,notes
total_new_capacity_ruplt_2025_2034,69.5,GW,2025-2034,PLN/ESDM RUPTL 2025-2034,high,"Official roadmap target."
renewable_new_capacity_ruplt,42.6,GW,2025-2034,PLN/ESDM RUPTL 2025-2034,high,"61% of new capacity."
storage_new_capacity_ruplt,10.3,GW,2025-2034,PLN/ESDM RUPTL 2025-2034,high,"Battery/storage and supporting flexibility."
fossil_new_capacity_ruplt,16.6,GW,2025-2034,PLN/ESDM RUPTL 2025-2034,high,"Coal + gas; verify exact breakdown in PDF."
solar_target_ruplt,17.2,GW,2025-2034,PLN/ESDM RUPTL 2025-2034,high,"Largest RE component in new plan."
hydro_target_ruplt,11.7,GW,2025-2034,PLN/ESDM RUPTL 2025-2034,high,"Hydropower target."
wind_target_ruplt,7.2,GW,2025-2034,PLN/ESDM RUPTL 2025-2034,high,"Wind target."
geothermal_target_ruplt,5.2,GW,2025-2034,PLN/ESDM RUPTL 2025-2034,high,"Geothermal target."
nuclear_first_inclusion,0.5,GW,2033,PLN/ESDM RUPTL 2025-2034,medium_high,"First inclusion; politically sensitive and should be verified in official PDF."
transmission_lines_target,47758,km,2025-2034,PLN/ESDM RUPTL 2025-2034,high,"Grid expansion needed for renewable integration."
investment_required_ruplt,182.6,USD_billion,2025-2034,PLN/ESDM RUPTL / legal analysis,medium_high,"Often reported as ~IDR 2967T; exchange-rate dependent."
grid_emission_factor,0.680,kgCO2e_per_kWh,2024_data_or_2025_publication,Ember-derived / GreenCalculus,high,"Best accessible open factor found; no current official KLHK/ESDM number found in research."
global_average_grid_factor,0.435,kgCO2_per_kWh,2025,IEA Electricity 2026,high,"Comparator."
indonesia_vs_global_grid_factor,1.56,times_global_average,2025,calculated,medium,"0.680 / 0.435."
renewable_potential_total,3692,GW,2021-2022,IRENA / ESDM cited potential,high,"Only a small fraction is deployed."
renewable_deployed_share_of_potential,0.3,percent,2021,IRENA,high,"Illustrates huge gap between potential and deployment."
coal_operating_capacity,60.7,GW,2026,Bloomberg Coal Countdown,high,"Indonesia among largest coal fleets globally."
coal_global_rank,4,rank,2026,Bloomberg Coal Countdown,high,"After China, India, US."
renewable_target_missed_years,9,years,through_2025,IESR,medium_high,"Use as think-tank critique; not official claim."
